,POS,PLAYER,Team,WKTS,MAT,INNS,OV,RUNS,BBI,AVG,ECON,SR,4W,5W
0,1,Prasidh Krishna,GT,25,15,15,59.0,488,41/4,19.52,8.27,14.16,1,0
1,2,Noor Ahmad,CSK,24,14,14,50.0,408,18/4,17.00,8.16,12.50,2,0
2,3,Josh Hazlewood,RCB,22,12,12,44.0,386,33/4,17.54,8.77,12.00,1,0
3,4,Trent Boult,MI,22,16,16,57.4,517,26/4,23.50,8.96,15.72,1,0
4,5,Arshdeep Singh,PBKS,21,17,16,58.2,518,16/3,24.66,8.88,16.66,0,0
5,6,Sai Kishore,GT,19,15,15,42.3,393,30/3,20.68,9.24,13.42,0,0
6,7,Jasprit Bumrah,MI,18,12,12,47.2,316,22/4,17.55,6.67,15.77,1,0
7,8,Varun Chakaravarthy,KKR,17,13,13,50.0,383,22/3,22.52,7.66,17.64,0,0
8,9,Krunal Pandya,RCB,17,15,15,46.0,379,45/4,22.29,8.23,16.23,1,0
9,10,Bhuvneshwar Kumar,RCB,17,14,14,52.0,483,33/3,28.41,9.28,18.35,0,0
10,11,Vaibhav Arora,KKR,17,12,12,42.3,430,29/3,25.29,10.11,15.00,0,0
11,12,Pat Cummins,SRH,16,14,14,49.4,450,19/3,28.12,9.06,18.62,0,0
12,13,Marco Jansen,PBKS,16,14,14,47.1,434,17/3,27.12,9.20,17.68,0,0
13,14,Mohammed Siraj,GT,16,15,15,57.0,527,17/4,32.93,9.24,21.37,1,0
14,15,Yuzvendra Chahal,PBKS,16,14,13,45.0,430,28/4,26.87,9.55,16.87,2,0
15,16,Harshal Patel,SRH,16,13,13,43.5,430,28/4,26.87,9.80,16.43,2,0
16,17,Kuldeep Yadav,DC,15,14,13,51.0,361,22/3,24.06,7.07,20.40,0,0
17,18,Khaleel Ahmed,CSK,15,14,14,46.4,447,29/3,29.80,9.57,18.66,0,0
18,19,Harshit Rana,KKR,15,13,13,44.0,448,25/3,29.86,10.18,17.60,0,0
19,20,Digvesh Singh,LSG,14,13,13,52.0,429,30/2,30.64,8.25,22.28,0,0
20,21,Hardik Pandya,MI,14,15,14,35.0,342,36/5,24.42,9.77,15.00,0,1
21,22,Mitchell Starc,DC,14,11,10,36.0,366,35/5,26.14,10.16,15.42,0,1
22,23,Eshan Malinga,SRH,13,7,7,26.4,238,31/3,18.30,8.92,12.30,0,0
23,24,Yash Dayal,RCB,13,15,15,49.0,470,18/2,36.15,9.59,22.61,0,0
24,25,Matheesha Pathirana,CSK,13,12,12,41.5,424,36/3,32.61,10.13,19.30,0,0
25,26,Avesh Khan,LSG,13,13,13,47.2,487,37/3,37.46,10.28,21.84,0,0
26,27,Shardul Thakur,LSG,13,10,10,34.0,375,34/4,28.84,11.02,15.69,1,0
27,28,Sunil Narine,KKR,12,12,12,45.0,351,13/3,29.25,7.80,22.50,0,0
28,29,Mukesh Kumar,DC,12,12,12,39.3,408,33/4,34.00,10.32,19.75,1,0
29,30,Jaydev Unadkat,SRH,11,7,7,23.5,175,24/3,15.90,7.34,13.00,0,0
30,31,Wanindu Hasaranga,RR,11,11,11,41.0,371,35/4,33.72,9.04,22.36,1,0
31,32,Vipraj Nigam,DC,11,14,13,39.0,356,18/2,32.36,9.12,21.27,0,0
32,33,Deepak Chahar,MI,11,14,14,41.0,376,12/2,34.18,9.17,22.36,0,0
33,34,Jofra Archer,RR,11,12,12,45.3,431,25/3,39.18,9.47,24.81,0,0
34,35,Maheesh Theekshana,RR,11,11,11,42.0,410,26/2,37.27,9.76,22.90,0,0
35,36,Ashwani Kumar,MI,11,7,7,20.3,232,24/4,21.09,11.31,11.18,1,0
36,37,Mitchell Santner,MI,10,13,13,39.3,313,11/3,31.30,7.92,23.70,0,0
37,38,Ravindra Jadeja,CSK,10,14,14,37.5,324,17/2,32.40,8.56,22.70,0,0
38,39,Harpreet Brar,PBKS,10,8,7,22.0,190,22/3,19.00,8.63,13.20,0,0
39,40,Rashid Khan,GT,9,15,15,55.0,514,25/2,57.11,9.34,36.66,0,0
40,41,Sandeep Sharma,RR,9,10,10,36.3,361,21/2,40.11,9.89,24.33,0,0
41,42,Tushar Deshpande,RR,9,10,10,32.0,340,44/3,37.77,10.62,21.33,0,0
42,43,Ravi Bishnoi,LSG,9,11,11,37.0,401,18/2,44.55,10.83,24.66,0,0
43,44,Anshul Kamboj,CSK,8,8,8,21.3,172,13/3,21.50,8.00,16.12,0,0
44,45,Suyash Sharma,RCB,8,14,14,50.0,442,17/3,55.25,8.84,37.50,0,0
45,46,Azmatullah Omarzai,PBKS,8,9,8,27.0,279,33/2,34.87,10.33,20.25,0,0
46,47,Andre Russell,KKR,8,13,9,18.1,217,21/2,27.12,11.94,13.62,0,0
47,48,Karn Sharma,MI,7,6,5,15.0,128,23/3,18.28,8.53,12.85,0,0
48,49,Ravichandran Ashwin,CSK,7,9,9,31.0,283,41/2,40.42,9.12,26.57,0,0
49,50,Moeen Ali,KKR,6,6,5,16.0,136,23/2,22.66,8.50,16.00,0,0
50,51,Will Jacks,MI,6,13,8,14.0,120,14/2,20.00,8.57,14.00,0,0
51,52,Vignesh Puthur,MI,6,5,5,12.0,109,32/3,18.16,9.08,12.00,0,0
52,53,Zeeshan Ansari,SRH,6,10,10,33.5,333,42/3,55.50,9.84,33.83,0,0
